Price,Close,High,Low,Open,Volume,SMA_50,SMA_200,RSI
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,
Date,,,,,,,,
2023-07-15,30295.806640625,30407.78125,30263.462890625,30331.783203125,8011667756,28568.5050390625,25856.79788145727,47.255487222196116
2023-07-16,30249.1328125,30437.560546875,30089.669921875,30297.47265625,8516564470,28636.120625,25879.0939978585,46.54424531248865
2023-07-17,30145.888671875,30336.400390625,29685.783203125,30249.626953125,13240156074,28677.32546875,25900.643465909092,39.781360673519096
2023-07-18,29856.5625,30233.65625,29556.427734375,30147.0703125,13138897269,28719.5390234375,25920.52245603015,40.514953226664225
2023-07-19,29913.923828125,30184.181640625,29794.26953125,29862.046875,12128602812,28763.7705078125,25940.489462890626,43.544475990182825
2023-07-20,29792.015625,30195.53125,29638.095703125,29915.25,14655207121,28815.21765625,26006.324140625,48.59195438671995
2023-07-21,29908.744140625,30045.998046875,29733.8515625,29805.111328125,10972789818,28876.9930859375,26072.4255078125,44.36976230855903
2023-07-22,29771.802734375,29991.615234375,29664.12109375,29908.697265625,7873300598,28927.43734375,26137.885234375,43.386873060346545
2023-07-23,30084.5390625,30330.640625,29741.52734375,29790.111328125,9220145050,28987.625546875,26203.99173828125,48.950060458805694
2023-07-24,29176.916015625,30093.39453125,28934.294921875,30081.662109375,15395817395,29028.7825390625,26265.69263671875,37.089904572204915
2023-07-25,29227.390625,29353.16015625,29062.43359375,29178.970703125,10266772793,29098.1283984375,26327.06974609375,34.97336073428254
2023-07-26,29354.97265625,29675.552734375,29113.912109375,29225.759765625,13497554655,29140.4521875,26389.06921875,38.57091486168442
2023-07-27,29210.689453125,29560.966796875,29099.3515625,29353.798828125,10770779217,29197.746015625,26449.666943359374,18.494010987100594
2023-07-28,29319.24609375,29521.513671875,29125.845703125,29212.1640625,11218474952,29253.9666015625,26510.280400390624,30.192415166008303
2023-07-29,29356.91796875,29396.84375,29264.166015625,29319.4453125,6481775959,29311.4974609375,26569.833525390626,31.67028778553012
